dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_cirrhosis--stagediscovery,RF,remove_features,k=58 / highest_abundance,0.9325,0.9308,0.0017,0.8381,0.9227110438729197,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=87 / highest_abundance,0.9325,0.9237,0.0089,0.4418,0.6957917570498915,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.812,0.9325,0.9232,0.0093,0.291,0.5490471204188482,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.848,0.9325,0.9197,0.0128,0.1783,0.41014696485623,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.883,0.9325,0.9165,0.016,0.1392,0.35340845070422533,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.919,0.9325,0.915,0.0175,0.1683,0.39215533980582523,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.954,0.9325,0.9016,0.0309,0.0755,0.24935779816513762,False
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.138,0.8799,0.5225,0.3574,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.266,0.8799,0.4851,0.3948,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.393,0.8799,0.4832,0.3967,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.521,0.8799,0.4425,0.4374,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.649,0.8799,0.5078,0.3721,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=1 / highest_abundance,0.8911,0.8918,-0.0008,0.9344,0.9731879483500717,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=116 / highest_abundance,0.8911,0.849,0.0421,0.1103,0.3066254826254826,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=144 / highest_abundance,0.8911,0.8682,0.0228,0.4041,0.6659178082191781,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=173 / highest_abundance,0.8911,0.8209,0.0701,0.0354,0.15157894736842104,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=202 / highest_abundance,0.8911,0.78,0.1111,0.0009,0.012960000000000001,True
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=231 / highest_abundance,0.8911,0.8086,0.0824,0.0209,0.10983941605839415,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=260 / highest_abundance,0.8911,0.8062,0.0848,0.0135,0.08237288135593221,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=29 / highest_abundance,0.8911,0.8776,0.0134,0.4374,0.6951013215859031,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=58 / highest_abundance,0.8911,0.8704,0.0207,0.2913,0.5490471204188482,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=87 / highest_abundance,0.8911,0.8596,0.0315,0.1252,0.3363582089552239,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.812,0.8799,0.8487,0.0312,0.1242,0.3349213483146068,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.848,0.8799,0.8246,0.0553,0.0335,0.14707317073170734,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.883,0.8799,0.8303,0.0496,0.0637,0.22593103448275864,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.919,0.8799,0.8284,0.0515,0.0916,0.2725289256198347,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.954,0.8799,0.837,0.0429,0.1521,0.3712271186440678,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.138,0.939,0.8309,0.1081,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabICL,densification,0.266,0.939,0.8824,0.0566,0.0079,0.05804081632653062,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.393,0.939,0.8977,0.0413,0.0207,0.10958823529411765,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.521,0.939,0.8975,0.0415,0.0052,0.04565853658536585,True
abundance_cirrhosis--stagediscovery,TabICL,densification,0.649,0.939,0.9121,0.0269,0.0271,0.12836842105263158,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=1 / highest_abundance,0.939,0.9406,-0.0016,0.5679,0.8033163064833005,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=116 / highest_abundance,0.939,0.9311,0.0079,0.4968,0.7314846625766872,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=144 / highest_abundance,0.939,0.922,0.017,0.1867,0.4218432601880878,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=173 / highest_abundance,0.939,0.9216,0.0174,0.1926,0.432,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=202 / highest_abundance,0.939,0.915,0.024,0.1113,0.3082153846153846,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=231 / highest_abundance,0.939,0.9134,0.0256,0.1482,0.3654246575342466,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=260 / highest_abundance,0.939,0.9007,0.0383,0.058,0.2119796954314721,False
