dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=144 / highest_abundance,0.9249,0.9082,0.0167,0.2943,0.563395225464191,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=173 / highest_abundance,0.9249,0.8952,0.0297,0.1575,0.39068041237113404,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=202 / highest_abundance,0.9249,0.835,0.0899,0.0033,0.039599999999999996,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=231 / highest_abundance,0.9249,0.8216,0.1034,0.0006,0.01393548387096774,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=260 / highest_abundance,0.9249,0.8313,0.0936,0.0013,0.021767441860465114,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=29 / highest_abundance,0.9249,0.93,-0.0051,0.6045,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=58 / highest_abundance,0.9249,0.9211,0.0038,0.7764,0.9089560975609756,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=87 / highest_abundance,0.9249,0.9334,-0.0085,0.4495,0.7066375545851528,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.812,0.9249,0.9218,0.0032,0.6477,0.8372423698384202,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.848,0.9249,0.9124,0.0126,0.228,0.48857142857142855,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.883,0.9249,0.9012,0.0237,0.0626,0.23597905759162305,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.919,0.9249,0.8758,0.0491,0.0065,0.061578947368421046,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.954,0.9249,0.8094,0.1155,0.0001,0.0036000000000000003,True
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.138,0.9233,0.8732,0.0501,0.0014,0.0224,True
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.266,0.9233,0.9067,0.0166,0.1513,0.3849328621908127,False
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.393,0.9233,0.9021,0.0212,0.0408,0.17783132530120482,False
